Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
3459,0.24,993,0.00,0.00,14.70,23.00,73,1,-8.85,1.28,0.00,0.00,15.70
3511,0.23,993,0.00,0.00,14.70,22.50,73,1,-8.85,1.26,0.00,0.00,15.70
3563,0.23,997,0.00,0.00,14.70,22.50,73,1,-8.85,1.26,0.00,0.00,15.50
3616,0.23,1002,0.00,0.00,14.70,21.50,73,1,-8.85,1.26,0.00,0.00,15.50
3668,0.24,1000,0.00,0.00,14.70,22.00,73,1,-9.00,1.34,0.00,0.00,15.50
3720,0.25,1010,0.00,0.00,13.16,21.00,73,1,-8.71,1.40,0.00,0.00,15.30
3773,0.26,1010,0.00,0.00,13.27,20.00,73,1,-8.56,1.40,0.00,0.00,15.30
3826,0.25,1020,0.00,0.00,13.60,20.00,73,1,-8.56,1.40,0.00,0.00,15.30
3879,0.28,1039,0.00,0.00,13.46,19.50,73,1,-8.42,1.40,0.00,0.00,15.10
3929,0.28,1054,0.00,0.00,14.69,16.50,73,1,-8.27,1.34,0.00,0.00,15.10
3983,0.28,1072,0.00,0.00,14.69,15.00,73,1,-8.27,1.40,0.00,0.00,15.10
4035,0.28,1072,0.00,0.00,14.68,14.00,73,1,-8.27,1.40,0.00,0.00,14.90
4089,0.29,1091,0.00,0.00,14.68,14.00,73,1,-8.13,1.40,0.00,0.00,14.90
4141,0.29,1104,0.00,0.00,14.68,13.50,73,1,-8.13,1.42,0.00,0.00,14.90
4193,0.29,1123,0.00,0.00,14.68,13.50,73,1,-7.98,1.42,0.00,0.00,14.70
4245,0.29,1156,0.00,0.00,14.68,13.50,73,1,-7.98,1.42,0.00,0.00,14.70
4298,0.29,1156,0.00,0.00,14.68,13.50,73,1,-7.98,1.42,0.00,0.39,14.60
4351,0.29,1181,0.00,0.00,14.68,13.50,73,1,-7.98,1.42,0.00,0.39,14.60
4403,0.29,1200,0.00,0.00,14.68,13.50,73,1,-7.98,1.46,0.00,0.39,14.60
4455,0.29,1244,0.00,0.00,14.68,13.50,73,1,-7.98,1.46,0.00,0.78,14.30
4508,0.30,1264,0.00,0.00,14.68,13.50,73,1,-7.98,1.48,0.00,0.78,14.30
4561,0.29,1264,0.00,0.00,14.68,13.50,73,1,-8.13,1.40,0.00,0.00,14.30
4613,0.28,1280,0.00,0.00,15.33,13.50,73,1,-8.13,1.40,0.00,0.00,14.30
4666,0.26,1315,0.00,0.00,15.71,21.50,73,1,-8.56,1.32,0.00,0.00,14.00
4718,0.23,1330,0.00,0.00,15.66,21.50,73,1,-8.85,1.28,0.00,0.78,14.00
4770,0.22,1354,0.00,0.00,15.38,21.50,73,1,-9.14,1.44,0.00,2.35,14.00
4823,0.27,1354,0.00,0.00,12.43,24.50,73,1,-8.42,1.62,0.00,4.31,13.90
4875,0.31,1352,0.00,0.00,11.88,24.50,73,1,-8.42,1.62,0.00,5.10,13.90
4927,0.36,1383,0.00,0.00,11.82,27.50,73,1,-7.69,1.74,0.00,5.49,14.10
4980,0.41,1430,0.00,0.00,12.23,31.50,73,1,-6.82,1.82,0.00,6.27,14.10
5032,0.45,1545,0.00,0.00,12.84,35.00,73,1,-6.09,1.86,0.00,6.27,14.10
5086,0.48,1545,0.00,0.00,13.18,15.50,73,1,-5.66,1.88,0.00,6.67,14.30
5138,0.50,1647,0.00,0.00,13.88,15.50,73,1,-5.66,1.88,0.00,6.67,14.30
5190,0.51,1762,0.00,0.00,14.60,35.50,73,2,-5.37,1.90,0.00,6.67,14.30
5243,0.51,1866,0.00,0.00,14.60,36.00,73,4,-5.22,1.92,0.00,6.67,14.40
5295,0.51,1941,0.00,0.00,14.61,36.50,73,6,-5.37,1.94,0.00,6.67,14.40
5348,0.50,1941,0.00,0.00,14.61,36.50,73,7,-5.37,1.94,0.00,6.67,14.40
5400,0.49,2001,0.00,0.00,14.61,36.50,73,7,-5.37,1.94,0.00,6.67,13.70
5453,0.49,2051,0.00,0.00,14.62,37.00,73,8,-5.37,1.94,0.00,6.67,13.70
5505,0.49,2072,0.00,0.00,14.63,37.50,73,8,-5.51,1.96,0.00,7.06,13.70
5558,0.49,2083,0.00,0.00,14.63,37.50,73,7,-5.51,1.96,0.00,7.06,14.20
5610,0.50,2083,0.00,0.00,14.63,37.00,73,7,-5.51,1.96,0.00,7.06,14.20
5663,0.50,2057,0.00,0.00,14.66,37.00,73,7,-5.51,1.96,0.00,7.06,14.20
5715,0.51,1994,0.00,0.00,14.66,36.50,73,7,-5.51,1.96,0.00,7.06,14.60
5768,0.52,1949,0.00,0.00,14.66,36.50,73,7,-5.37,1.98,0.00,7.06,14.60
5820,0.52,1907,0.00,0.00,14.66,36.00,73,7,-5.22,1.96,0.00,7.06,14.60
5873,0.54,1907,0.00,0.00,14.66,35.50,73,8,-5.08,1.96,0.00,7.84,14.50
5925,0.56,1858,0.00,0.00,14.05,35.50,73,8,-5.08,1.96,0.00,7.84,14.50
5978,0.57,1790,0.00,0.00,14.02,34.50,73,8,-4.93,2.00,0.00,8.24,14.50
6031,0.58,1717,0.00,0.00,14.26,34.00,73,9,-4.79,1.96,0.00,9.02,14.30
6083,0.60,1631,0.00,0.00,14.04,33.00,73,11,-4.50,1.98,0.00,9.02,14.30
6136,0.63,1631,0.00,0.00,13.78,32.50,73,12,-4.21,2.00,0.00,9.02,14.30
6188,0.66,1573,0.00,0.00,13.86,31.00,73,12,-4.21,1.98,0.00,9.41,14.40
6240,0.68,1498,0.00,0.00,13.91,31.00,73,13,-3.92,1.98,0.00,9.80,14.40
6293,0.70,1450,0.00,0.00,14.06,29.50,73,14,-3.34,1.98,0.00,10.20,14.40
6345,0.71,1507,0.00,0.00,14.32,29.50,73,15,-3.05,2.00,0.00,10.98,14.60
6397,0.72,1507,0.00,0.00,14.23,30.00,73,16,-2.76,2.02,0.00,11.37,14.60
6450,0.74,1528,0.00,0.00,14.15,30.00,73,16,-2.76,2.02,0.00,12.94,14.60
6503,0.75,1521,0.00,0.00,13.98,29.50,73,17,-2.47,2.06,0.39,14.12,14.00
6555,0.79,1551,0.00,0.00,13.91,28.50,73,17,-2.03,2.10,1.18,16.08,14.00
6608,0.83,1574,0.00,0.00,13.84,28.50,73,17,-1.60,2.16,2.75,17.65,14.00
6660,0.85,1574,0.00,0.00,14.05,27.50,73,18,-1.02,2.16,3.14,18.04,13.90
6712,0.85,1594,0.00,0.00,14.34,27.50,73,18,-1.02,2.14,3.14,18.04,13.90
6765,0.86,1613,0.00,0.00,14.57,27.50,73,19,-0.87,2.14,3.14,18.04,13.90
6817,0.86,1644,0.00,0.00,14.58,27.50,73,20,-0.87,2.16,3.14,18.04,15.20
6870,0.86,1652,0.00,0.00,14.59,28.00,73,21,-0.87,2.16,3.14,18.04,15.20
6922,0.87,1652,0.00,0.00,14.59,27.50,73,21,-0.73,2.18,3.53,19.22,15.20
6975,0.88,1657,0.00,0.00,14.59,27.50,73,21,-0.73,2.22,3.53,22.35,15.40
7027,0.90,1700,0.00,0.00,14.22,27.50,73,21,-0.73,2.22,5.49,24.71,15.40
7080,0.92,1719,0.00,0.00,14.23,26.50,73,20,-0.29,2.24,14.12,24.71,15.40
7132,0.92,1748,0.00,0.00,14.58,26.50,73,21,-0.15,2.26,14.90,24.71,14.90
7185,0.92,1748,0.00,0.00,14.56,26.50,73,21,-0.15,2.26,14.90,25.10,14.90
7237,0.92,1783,0.00,0.00,14.56,27.00,73,21,-0.15,2.28,14.90,25.10,14.90
7291,0.92,1810,0.00,0.00,14.56,27.00,73,22,-0.15,2.28,14.90,25.10,14.60
7343,0.93,1831,0.00,0.00,14.57,27.00,73,23,-0.15,2.28,14.90,25.10,14.60
7396,0.93,1860,0.00,0.00,14.57,27.00,73,23,0.00,2.28,14.90,25.10,14.60
7448,0.94,1860,0.00,0.00,14.58,27.00,73,23,0.00,2.30,14.90,25.10,14.70
7500,0.95,1883,0.00,0.00,14.58,27.00,73,23,0.00,2.32,14.90,25.10,14.70
7553,0.96,1908,0.00,0.00,14.42,27.00,73,23,0.00,2.32,14.90,25.10,14.70
7605,0.97,1928,0.00,0.00,14.38,26.50,73,23,0.00,2.32,14.90,25.49,14.50
7658,0.97,1952,0.00,0.00,14.45,26.50,73,23,0.15,2.34,15.29,30.20,14.50
7710,1.01,1952,0.00,0.00,14.34,26.00,73,24,0.44,2.40,20.78,34.90,14.50
7763,1.02,1988,0.00,0.00,14.34,25.50,73,24,0.44,2.40,20.78,36.47,14.50
7816,1.04,2028,0.00,0.00,14.45,25.50,73,24,0.73,2.40,23.14,43.14,14.50
7869,1.05,2050,0.00,0.00,14.43,25.50,73,25,0.87,2.42,28.24,49.41,14.50
7921,1.08,2076,0.00,0.00,14.11,25.00,73,25,1.16,2.44,33.73,50.98,14.60
7974,1.09,2076,0.00,0.00,14.25,25.00,73,26,1.16,2.44,34.51,51.37,14.60
8025,1.10,2105,0.00,0.00,14.13,25.00,73,26,1.16,2.48,34.51,51.76,14.60
8078,1.11,2139,0.00,0.00,14.21,25.00,73,27,1.31,2.48,34.51,51.76,14.90
8130,1.11,2158,0.00,0.00,14.19,25.00,73,28,1.31,2.48,35.29,51.76,14.90
8183,1.13,2213,0.00,0.00,14.04,25.00,73,28,1.45,2.48,35.29,51.76,14.90
8236,1.14,2213,0.00,0.00,13.98,25.00,73,29,1.45,2.50,35.29,51.76,14.70
8287,1.15,2234,0.00,0.00,13.98,25.00,73,29,1.45,2.52,35.29,51.76,14.70
8340,1.16,2263,0.00,0.00,13.96,25.00,73,29,1.60,2.52,35.29,51.76,14.70
8392,1.16,2296,0.00,0.00,14.05,25.00,73,30,1.74,2.54,34.51,51.76,14.70
8445,1.17,2318,0.00,0.00,14.04,25.00,73,30,1.74,2.56,34.51,51.76,14.70
8498,1.16,2318,0.00,0.00,14.02,25.00,73,31,1.89,2.56,34.51,51.76,14.70
8550,1.18,2363,0.00,0.00,13.99,25.00,73,31,1.89,2.60,34.51,51.37,14.40
8603,1.18,2398,0.00,0.00,13.97,25.00,73,31,1.89,2.60,34.51,50.98,14.40
8655,1.19,2422,0.00,0.00,13.97,25.00,73,32,2.03,2.62,34.51,50.98,14.40
8708,1.20,2471,0.00,0.00,13.87,25.00,73,32,2.18,2.66,34.12,50.98,14.60
8760,1.20,2471,0.00,0.00,13.96,25.00,73,32,2.32,2.64,34.12,50.59,14.60
8813,1.19,2503,0.00,0.00,13.98,25.00,73,32,2.32,2.68,34.12,50.59,14.60
8865,1.19,2531,0.00,0.00,13.98,25.00,73,32,2.32,2.68,34.12,50.20,14.50
8918,1.19,2566,0.00,0.00,13.98,25.00,73,33,2.47,2.66,33.73,50.20,14.50
8970,1.20,2598,0.00,0.00,13.99,25.50,73,32,2.47,2.70,33.73,50.20,14.50
9023,1.19,2645,0.00,0.00,13.98,25.00,73,32,2.61,2.72,33.73,50.20,14.50
9075,1.19,2645,0.00,0.00,13.99,25.50,73,32,2.61,2.74,33.73,50.20,14.50
9128,1.20,2698,0.00,0.00,13.98,25.50,73,31,2.76,2.74,33.73,50.20,14.40
9180,1.20,2711,0.00,0.00,13.99,25.50,73,32,2.90,2.74,33.73,50.20,14.40
9233,1.20,2745,0.00,0.00,13.98,25.50,73,32,3.05,2.76,33.73,50.20,14.40
9286,1.21,2836,0.00,0.00,13.96,26.00,73,32,3.05,2.80,33.73,50.59,14.90
9338,1.25,2836,0.00,0.00,13.62,25.00,73,32,3.05,2.80,33.73,50.59,14.90
9391,1.26,2833,0.00,0.00,13.71,25.00,73,32,3.19,2.80,34.12,54.12,14.90
9443,1.31,2852,0.00,0.00,13.52,25.00,73,33,3.34,2.82,36.86,61.57,14.80
9496,1.34,2911,0.00,0.00,13.37,24.50,73,33,3.48,2.86,43.14,64.71,14.80
9548,1.37,2933,0.00,0.00,13.28,23.50,73,33,3.63,2.90,46.67,65.88,14.80
9602,1.38,2933,0.00,0.00,13.25,23.50,73,33,3.63,2.88,46.67,67.45,14.30
9654,1.38,2996,0.00,0.00,13.26,23.50,73,33,3.77,2.88,47.45,68.63,14.30
9707,1.38,3046,0.00,0.00,13.22,23.50,73,33,3.92,2.92,49.02,69.02,14.30
9759,1.38,3064,0.00,0.00,13.22,23.50,73,33,4.06,2.92,48.63,69.02,13.50
9811,1.39,3064,0.00,0.00,13.17,24.00,73,33,4.21,2.96,48.24,69.02,13.50
9863,1.38,3108,0.00,0.00,13.23,24.00,73,33,4.21,2.94,48.24,65.88,13.50
9917,1.38,3158,0.00,0.00,13.44,24.00,73,32,4.50,2.94,47.06,57.65,13.20
9969,1.38,3205,0.00,0.00,13.43,24.50,73,33,4.50,2.98,38.04,52.55,13.20
10021,1.38,3216,0.00,0.00,13.44,24.50,73,33,4.64,2.98,34.12,52.16,13.20
10074,1.38,3305,0.00,0.00,13.45,24.50,73,33,4.79,3.02,32.16,51.76,13.10
10127,1.39,3305,0.00,0.00,13.33,24.50,73,33,4.79,3.04,32.16,50.98,13.10
10180,1.39,3327,0.00,0.00,13.39,24.50,73,33,4.93,3.04,30.98,50.20,13.10
10232,1.40,3363,0.00,0.00,13.37,24.50,73,32,5.08,3.04,29.02,50.20,13.30
10284,1.41,3417,0.00,0.00,13.27,24.00,73,31,5.22,3.06,28.63,50.20,13.30
10337,1.43,3466,0.00,0.00,13.33,24.00,73,31,5.37,3.10,28.63,51.37,13.30
10390,1.44,3466,0.00,0.00,13.22,23.50,73,31,5.37,3.12,28.63,63.53,13.50
10443,1.50,3503,0.00,0.00,12.86,23.50,73,31,5.66,3.12,36.47,77.25,13.50
10495,1.56,3551,0.00,0.00,12.74,22.50,73,29,5.95,3.18,50.59,81.96,13.50
10547,1.61,3620,0.00,0.00,12.71,21.00,73,27,6.24,3.26,69.80,85.88,12.70
10600,1.66,3662,0.00,0.00,12.76,20.00,73,26,6.53,3.28,92.55,93.33,12.70
10653,1.69,3662,0.00,0.00,12.83,19.50,73,26,6.82,3.32,100.00,95.69,12.70
10705,1.71,3704,0.00,0.00,12.80,19.50,73,26,6.82,3.32,100.00,100.00,12.90
10757,1.73,3759,0.00,0.00,12.68,19.50,73,26,7.25,3.34,100.00,100.00,12.90
10810,1.76,3797,0.00,0.00,12.60,19.00,73,26,7.55,3.36,100.00,100.00,12.90
10862,1.79,3840,0.00,0.00,12.49,18.50,73,26,7.84,3.40,100.00,100.00,12.40
10915,1.80,3840,0.00,0.00,12.47,18.00,73,26,7.84,3.42,100.00,100.00,12.40
10968,1.84,3928,0.00,0.00,12.37,18.00,73,25,8.13,3.42,100.00,100.00,12.40
11020,1.85,3978,0.00,0.00,12.32,17.50,73,23,8.42,3.46,100.00,100.00,12.20
11073,1.86,4008,0.00,0.00,12.21,17.50,73,21,8.85,3.46,100.00,100.00,12.20
11125,1.91,4080,0.00,0.00,11.99,17.50,73,23,9.00,3.50,100.00,100.00,12.20
11178,1.96,4080,0.00,0.00,11.71,17.50,73,23,9.00,3.54,100.00,100.00,11.70
11230,2.00,4125,0.00,0.00,11.57,17.50,73,23,9.43,3.54,100.00,100.00,11.70
11283,2.05,4204,0.00,0.00,11.37,17.50,73,23,9.72,3.58,100.00,100.00,11.70
11335,2.05,4252,0.00,0.00,11.36,17.00,73,21,10.01,3.64,100.00,100.00,11.00
11388,2.07,4296,0.00,0.00,11.29,17.00,73,20,10.45,3.68,100.00,100.00,11.00
11440,2.08,4296,0.00,0.00,11.31,17.50,73,19,10.59,3.68,100.00,100.00,11.00
11493,2.09,4388,0.00,0.00,11.19,17.50,73,19,10.59,3.68,100.00,100.00,10.70
11545,2.10,4432,0.00,0.00,11.18,17.50,73,19,10.88,3.72,100.00,100.00,10.70
11598,2.10,4496,0.00,0.00,11.24,17.50,73,17,11.32,3.76,100.00,100.00,10.70
11650,2.10,4554,0.00,0.00,11.23,17.50,73,14,11.46,3.80,100.00,100.00,10.90
11703,2.11,4554,0.00,0.00,11.23,17.50,73,14,11.46,3.80,100.00,100.00,10.90
11756,2.10,4618,0.00,0.00,11.29,17.50,73,12,11.75,3.80,100.00,100.00,10.90
11808,2.11,4684,0.00,0.00,11.16,17.50,73,14,11.90,3.82,100.00,100.00,11.00
11861,2.11,4750,0.00,0.00,11.24,17.50,73,15,12.19,3.84,100.00,100.00,11.00
11914,2.13,4786,0.00,0.00,11.06,18.00,73,15,12.33,3.86,100.00,100.00,11.00
11966,2.15,4786,0.00,0.00,11.13,18.00,73,15,12.33,3.92,100.00,100.00,11.30
12019,2.16,4864,0.00,0.00,11.18,18.00,73,14,12.62,3.92,100.00,100.00,11.30
12071,2.18,4944,0.00,0.00,11.13,17.50,73,13,12.62,3.96,100.00,100.00,11.30
12123,2.20,5020,0.00,0.00,11.01,17.50,73,14,12.77,3.96,100.00,100.00,11.10
12176,2.23,5020,0.00,0.00,10.88,17.50,73,14,12.77,3.98,100.00,100.00,11.10
12228,2.24,5074,0.00,0.00,10.96,17.50,73,12,12.91,3.98,100.00,100.00,11.10
12281,2.25,5162,0.00,0.00,11.02,17.00,73,9,12.91,4.00,100.00,100.00,11.20
12333,2.26,5162,0.00,0.00,11.00,17.00,73,9,13.06,4.02,100.00,100.00,11.20
12386,2.29,5222,0.00,0.00,10.94,17.00,73,9,13.06,4.02,100.00,100.00,11.20
12438,2.28,5282,0.00,0.00,11.00,17.00,73,8,12.91,4.02,100.00,100.00,11.10
12491,2.28,5282,0.00,0.00,11.08,17.50,73,8,12.62,4.04,100.00,100.00,11.10
12544,2.24,5384,0.00,0.00,11.02,17.50,73,8,12.62,4.04,100.00,100.00,11.10
12597,2.25,5462,0.00,0.00,10.97,17.50,73,9,12.48,4.04,100.00,100.00,10.80
12650,2.24,5462,0.00,0.00,11.16,17.50,73,9,12.48,4.08,100.00,100.00,10.80
12702,2.22,5551,0.00,0.00,11.15,17.50,73,8,12.33,4.08,100.00,100.00,10.80
12754,2.25,5622,0.00,0.00,11.07,17.50,73,8,12.33,4.08,100.00,100.00,10.90
12807,2.21,5622,0.00,0.00,11.14,17.50,72,8,12.33,4.08,100.00,100.00,10.90
12860,2.22,5682,0.00,0.00,11.12,18.00,72,7,12.19,4.08,100.00,100.00,10.90
12913,2.19,5682,0.00,0.00,11.15,18.50,72,7,12.19,4.10,100.00,100.00,10.90
12965,2.20,5787,0.00,0.00,11.14,18.50,72,6,12.19,4.10,100.00,100.00,10.90
13019,2.20,5787,0.00,0.00,11.15,19.00,72,5,12.04,4.12,100.00,100.00,10.90
13072,2.16,5854,0.00,0.00,11.26,19.00,72,5,12.04,4.12,100.00,100.00,11.00
13124,2.15,5948,0.00,0.00,11.86,19.00,72,3,11.90,4.14,100.00,70.59,11.00
13177,2.07,5948,0.00,0.00,12.46,19.00,72,3,11.90,4.14,100.00,23.53,11.00
13230,1.09,5986,0.00,0.00,13.89,28.50,72,3,0.73,3.18,0.00,0.00,11.10
13283,0.81,5986,0.00,0.00,12.93,28.50,72,3,0.73,3.18,0.00,0.00,11.10
13335,0.54,5910,0.00,0.00,14.96,16.00,72,3,-7.11,2.42,0.00,0.00,11.10
13388,0.56,5910,0.00,0.00,13.69,16.00,72,3,-7.11,2.42,0.00,0.00,11.70
13440,0.59,5686,0.00,0.00,11.32,16.00,72,1,-8.27,2.92,0.00,0.00,11.70
13493,0.53,5686,0.00,0.00,15.44,16.00,72,1,-8.27,2.92,0.00,0.00,12.20
13545,0.40,5551,0.00,0.00,15.02,16.00,72,1,-8.85,2.58,0.00,0.00,12.20
13598,0.45,5551,0.00,0.00,13.87,28.50,72,1,-8.85,2.18,0.00,7.84,12.20
13651,0.72,5399,0.00,0.00,11.04,28.50,72,1,-8.71,2.18,0.00,32.16,17.80
13703,1.13,5399,0.00,0.00,11.96,29.50,72,2,1.60,3.46,21.18,53.73,17.80
13756,1.41,5446,0.00,0.00,11.71,29.50,72,2,1.60,3.46,21.18,68.24,17.80
13808,1.65,5158,0.00,0.00,11.69,26.50,72,8,4.21,3.60,40.00,74.90,18.50
13862,1.77,4735,0.00,0.00,11.78,21.00,72,12,5.51,3.58,42.75,80.78,18.50
13914,1.83,4735,0.00,0.00,11.73,19.00,72,15,6.67,3.50,100.00,100.00,18.50
13967,1.80,4256,0.00,0.00,12.18,19.00,72,15,6.67,3.50,100.00,100.00,12.30
14020,1.83,4254,0.00,0.00,12.04,-1.50,73,17,7.11,3.46,100.00,100.00,12.30
14072,1.93,4365,0.00,0.00,11.36,-1.50,73,22,7.84,3.62,100.00,100.00,12.30
