Time (msec),Engine Load* (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fueling Final Base* (estimated AFR),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Left (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
3357,0.18,2234,0,0,14.7,28,86,0,-9.72,1.5,0,0,18.5
3410,0.18,2229,0,0,14.7,28,86,0,-9.72,1.5,0,0,18.5
3462,0.18,2229,0,0,14.7,28,86,0,-9.72,1.5,0,0,18.5
3514,0.18,2196,0,0,14.7,28,86,0,-9.72,1.48,0,0,18.5
3567,0.18,2101,0,0,14.7,28,86,1,-9.72,1.48,0,0,18.5
3619,0.19,2029,0,0,14.7,28,86,1,-9.58,1.48,0,0,18.5
3672,0.19,2009,0,0,14.7,28,86,1,-9.58,1.48,0,0,18.5
3724,0.2,1945,0,0,14.7,27,86,1,-9.43,1.48,0,0,18.5
3777,0.21,1867,0,0,14.7,26.5,86,1,-9.29,1.48,0,0,18.5
3830,0.21,1784,0,0,14.7,25.5,84,1,-9.29,1.48,0,0,18.5
3882,0.22,1699,0,0,14.7,25,84,1,-9.29,1.48,0,0,18.5
3934,0.22,1687,0,0,14.7,25,84,1,-9.29,1.48,0,0,18.5
3987,0.23,1623,0,0,14.7,23.5,86,1,-9.29,1.46,0,0,18.5
4039,0.24,1533,0,0,14.7,23,86,1,-9.14,1.46,0,0,18.5
4091,0.24,1468,0,0,14.7,22.5,86,1,-9,1.44,0,0,18.5
4144,0.24,1384,0,0,14.7,21.5,86,1,-9,1.42,0,0,18.5
4196,0.24,1376,0,0,14.7,21.5,86,1,-9,1.42,0,0,18.5
4249,0.25,1312,0,0,14.7,21.5,86,1,-8.85,1.4,0,0,18.5
4302,0.25,1256,0,0,14.7,29.5,86,1,-8.85,1.36,0,0,18.5
4353,0.24,1154,0,0,14.7,29.5,84,1,-8.85,1.34,0,0,18.5
4406,0.24,1090,0,0,14.7,29.5,84,1,-8.85,1.32,0,0,18.5
4459,0.25,1112,0,0,14.7,29.5,84,1,-8.85,1.32,0,0,18.5
4511,0.25,984,0,0,14.7,29.5,86,1,-8.71,1.3,0,0,18.5
4564,0.26,902,0,0,13.46,29.5,86,1,-8.56,1.32,0,0,18.5
4616,0.27,916,0,0,13.46,29.5,86,1,-8.27,1.34,0,0,18.5
4668,0.27,953,0,0,14.69,27.5,86,1,-8.13,1.34,0,0,18.5
4722,0.27,986,0,0,14.69,27.5,86,1,-8.13,1.34,0,0,18.5
4774,0.27,986,0,0,14.69,23.5,86,1,-8.13,1.32,0,0,18.5
4825,0.26,1017,0,0,14.69,20,86,0,-8.13,1.32,0,0,18.5
4878,0.25,1038,0,0,15.17,18,86,1,-8.27,1.28,0,0,18.5
4931,0.24,1055,0,0,15.27,16,86,1,-8.42,1.26,0,0,18.5
4984,0.24,1058,0,0,15.19,16,86,1,-8.56,1.26,0,0,18.5
5036,0.23,1058,0,0,14.71,16.5,86,1,-8.56,1.26,0,0,18.5
5089,0.22,1058,0,0,14.71,17,86,1,-8.71,1.28,0,0,18.5
5141,0.22,1058,0,0,14.71,17.5,86,1,-8.71,1.26,0,0,18.5
5194,0.22,1058,0,0,14.71,17.5,86,1,-8.85,1.28,0,0,18.5
5246,0.22,1048,0,0,14.71,17.5,86,1,-8.85,1.28,0,0,18.5
5299,0.22,1048,0,0,14.71,13,86,1,-8.85,1.28,0,0,18.5
5351,0.22,1036,0,0,14.71,14.5,86,1,-8.85,1.28,0,0,18.5
5403,0.22,1015,0,0,14.71,16,86,1,-8.85,1.28,0,0,18.5
5455,0.22,1010,0,0,14.71,17.5,86,1,-8.85,1.28,0,0,18.5
5508,0.23,1009,0,0,14.71,17.5,86,1,-8.85,1.28,0,0,18.5
5562,0.23,1009,0,0,14.71,17.5,86,1,-8.85,1.28,0,0,18.5
5614,0.23,1008,0,0,14.7,17.5,86,1,-8.85,1.28,0,0,18.5
5666,0.23,1002,0,0,14.7,18,86,1,-8.85,1.28,0,0,18.5
5719,0.23,1000,0,0,14.7,18,86,1,-8.85,1.28,0,0,18.5
5771,0.23,999,0,0,14.7,18,86,1,-8.85,1.28,0,0,18.5
5823,0.23,999,0,0,14.7,23.5,86,1,-8.85,1.26,0,0,18.5
5876,0.23,1000,0,0,14.7,23.5,86,1,-8.85,1.3,0,0,18.5
5928,0.23,1007,0,0,14.7,22.5,86,1,-8.85,1.3,0,0,18.5
5980,0.23,1008,0,0,14.7,22,86,1,-8.85,1.26,0,0,18.5
6033,0.23,1009,0,0,14.7,22,86,1,-9,1.26,0,0,18.5
6085,0.24,1009,0,0,14.71,21.5,86,1,-9,1.24,0,5.49,16.7
6138,0.27,1011,0,0,11.19,21.5,86,1,-8.42,1.56,0,9.02,16.7
6190,0.4,1012,0,0,10.18,22.5,86,1,-6.38,1.88,0,9.02,16.7
6242,0.52,1024,0,0,11.2,23.5,86,1,-4.93,1.92,0,9.41,15.7
6295,0.59,1162,0,0,12.32,23.5,86,1,-3.63,1.92,0,9.41,15.7
6347,0.62,1162,0,0,13.51,25,86,1,-3.63,1.9,0,9.41,15.7
6399,0.62,1363,0,0,14.54,27,86,0,-3.34,1.88,0,9.02,15.3
6452,0.6,1571,0,0,14.85,30.5,86,0,-3.34,1.9,0,9.41,15.3
6505,0.58,1812,0,0,14.96,13,86,0,-3.77,1.94,0,9.41,15.3
6558,0.55,1984,0,0,15,13,86,0,-4.06,1.94,0,9.41,15.5
6610,0.53,1984,0,0,15.01,15,86,1,-4.06,1.96,0,9.41,15.5
6663,0.51,2162,0,0,15.01,16,86,1,-4.35,2,0,9.41,15.5
6716,0.49,2400,0,0,14.9,17.5,86,2,-5.08,2.02,0,9.41,13.6
6768,0.48,2498,0,0,14.64,18,86,4,-5.51,2.04,0,9.41,13.6
6820,0.47,2543,0,0,14.64,18,86,4,-5.8,2.04,0,9.41,13.6
6873,0.47,2543,0,0,14.65,38,86,8,-5.8,2.06,0,9.41,13.7
6925,0.47,2600,0,0,14.65,38,86,9,-6.09,2.06,0,9.41,13.7
6978,0.46,2642,0,0,14.66,38,86,9,-6.24,2.06,0,9.41,13.7
7031,0.46,2666,0,0,14.66,38.5,86,9,-6.38,2.06,0,9.41,14.6
7082,0.46,2645,0,0,14.66,38.5,86,9,-6.38,2.06,0,9.41,14.6
7135,0.46,2645,0,0,14.66,38.5,86,9,-6.38,2.06,0,9.41,14.6
7187,0.46,2603,0,0,14.66,38.5,86,9,-6.38,2.06,0,9.41,14.2
7240,0.47,2550,0,0,14.66,38,86,9,-6.24,2.08,0,9.41,14.2
7292,0.48,2512,0,0,14.66,38,86,9,-6.24,2.08,0,9.41,14.2
7345,0.49,2448,0,0,14.66,38,86,9,-6.09,2.08,0,9.41,13.4
7398,0.5,2448,0,0,14.66,38,86,9,-6.09,2.06,0,9.41,13.4
7449,0.5,2390,0,0,14.66,38,86,8,-5.95,2.06,0,9.41,13.4
7501,0.5,2416,0,0,14.66,37.5,86,7,-5.8,2.06,0,9.8,13.7
7555,0.51,2452,0,0,14.66,37.5,86,8,-5.8,2.1,0,9.8,13.7
7607,0.52,2428,0,0,14.66,37.5,86,8,-5.66,2.1,0,10.2,13.7
7660,0.52,2428,0,0,14.66,37,86,8,-5.66,2.1,0,10.2,14.1
7712,0.53,2438,0,0,14.66,36.5,86,8,-5.51,2.1,0,10.2,14.1
7765,0.54,2454,0,0,14.66,36.5,86,9,-5.37,2.12,0,10.98,14.1
7818,0.56,2444,0,0,14.05,36,86,9,-5.08,2.18,0,11.76,14
7870,0.58,2470,0,0,14.17,36,86,9,-4.79,2.18,0.39,12.55,14
7922,0.6,2470,0,0,14.16,35.5,86,10,-4.79,2.2,0.39,12.94,14
7974,0.62,2486,0,0,14.21,35.5,86,10,-4.35,2.22,0.39,13.33,14.3
8028,0.64,2485,0,0,14.25,35,84,11,-4.06,2.24,0.78,13.73,14.3
8080,0.65,2495,0,0,14.62,35,84,13,-3.77,2.26,0.78,13.73,14.3
8132,0.66,2510,0,0,14.62,35,84,13,-3.77,2.26,1.18,13.73,14.8
8185,0.67,2503,0,0,14.33,34.5,84,15,-3.77,2.26,1.18,14.12,14.8
8237,0.67,2503,0,0,14.32,34.5,84,16,-3.63,2.26,1.18,14.12,14.8
8289,0.68,2507,0,0,14.31,34.5,84,16,-3.48,2.26,1.18,14.12,14.9
8343,0.69,2525,0,0,14.28,34,84,17,-3.48,2.28,1.57,14.51,14.9
8396,0.76,2563,0,0,13.22,34,84,17,-2.76,2.28,4.71,20,14.9
8448,0.84,2563,0,0,13.32,33.5,84,17,-2.76,2.44,5.1,20.78,14.8
8500,0.86,2601,0,0,13.72,32.5,84,19,-1.6,2.44,5.1,20.78,14.8
8553,0.88,2620,0,0,13.8,32,84,21,-1.45,2.46,5.1,21.18,14.8
8605,0.9,2603,0,0,13.63,31,84,24,-1.31,2.48,6.27,22.75,15.8
8658,0.94,2631,0,0,13.63,31,84,24,-0.73,2.48,14.9,25.1,15.8
8711,0.96,2631,0,0,13.72,30,84,27,-0.73,2.5,16.86,27.06,15.8
8763,0.98,2676,0,0,13.65,29.5,84,28,-0.44,2.54,16.86,30.2,14.7
8815,1,2696,0,0,13.63,29,84,30,0,2.58,19.61,31.76,14.7
8868,1.03,2713,0,0,13.6,28.5,84,31,0.29,2.6,21.96,34.51,14.7
8920,1.04,2770,0,0,13.57,28.5,84,31,0.58,2.6,25.49,39.22,14.8
8972,1.06,2782,0,0,13.68,28.5,84,31,0.58,2.64,26.67,40.39,14.8
9025,1.07,2782,0,0,13.58,28,84,32,0.87,2.64,26.67,40.39,14.8
9078,1.08,2781,0,0,13.63,27.5,84,32,1.02,2.66,26.67,40.39,14.8
9131,1.09,2820,0,0,13.62,27.5,84,32,1.16,2.68,26.67,40.39,14.8
9183,1.08,2864,0,0,13.6,27.5,84,32,1.31,2.68,26.67,40.39,14.8
9235,1.09,2817,0,0,13.6,27.5,84,32,1.31,2.7,26.67,40.39,14.6
9288,1.09,2881,0,0,13.59,27.5,84,32,1.45,2.7,26.67,40.39,14.6
9341,1.09,2952,0,0,13.58,28,84,32,1.6,2.72,26.67,40.39,14.6
9393,1.09,2983,0,0,13.57,28,84,32,1.6,2.74,26.67,40.39,13.8
9446,1.09,2993,0,0,13.57,28,84,32,1.74,2.74,26.67,40.39,13.8
9499,1.09,2948,0,0,13.56,28,84,32,1.74,2.74,26.67,40.39,13.7
9551,1.09,3012,0,0,13.54,28,84,32,1.89,2.74,26.67,40.39,13.7
9604,1.1,3078,0,0,13.54,28,84,32,2.03,2.76,26.27,43.53,13.7
9656,1.14,3070,0,0,13.18,27.5,84,32,2.47,2.8,36.08,56.86,13.8
9710,1.17,3134,0,0,13.18,27.5,84,32,2.61,2.8,45.49,65.88,13.8
9761,1.23,3133,0,0,12.69,27,84,32,2.61,2.84,54.51,75.29,13.8
9813,1.26,3197,0,0,12.82,26.5,84,32,2.76,2.88,74.51,79.22,12.6
9868,1.29,3183,0,0,12.81,26,84,32,3.05,2.92,74.51,85.49,12.6
9920,1.3,3255,0,0,12.97,26,84,32,3.19,2.94,100,95.69,12.6
9972,1.3,3308,0,0,12.97,26,84,32,3.34,2.94,100,100,12.7
10024,1.32,3318,0,0,12.85,25.5,84,32,3.34,2.94,100,100,12.7
10077,1.32,3318,0,0,12.91,25.5,84,32,3.48,2.96,100,100,12.7
10130,1.33,3370,0,0,12.87,25.5,84,32,3.63,3.02,100,100,12.7
10183,1.35,3438,0,0,12.71,25.5,84,32,3.92,3.04,100,100,12.7
10234,1.36,3445,0,0,12.69,25,84,32,4.06,3.06,100,100,12.7
10288,1.38,3432,0,0,12.65,25,84,32,4.06,3.06,100,100,12.9
10340,1.41,3496,0,0,12.5,25,84,32,4.21,3.08,100,100,12.9
10392,1.44,3552,0,0,12.44,24,84,32,4.5,3.12,100,100,12.9
10445,1.46,3595,0,0,12.37,23.5,84,32,4.64,3.14,100,100,12.8
10498,1.49,3639,0,0,12.32,23,84,32,4.93,3.16,100,100,12.8
10550,1.52,3634,0,0,12.16,23,84,32,4.93,3.16,100,100,12.8
10603,1.56,3698,0,0,12.09,22.5,84,32,5.22,3.22,100,100,12.4
10656,1.58,3740,0,0,12.11,21.5,84,32,5.51,3.24,100,100,12.4
10708,1.6,3765,0,0,12.05,21,84,32,5.8,3.24,100,100,12.4
10761,1.62,3822,0,0,12.04,21,84,32,6.09,3.24,100,100,11.7
10813,1.63,3800,0,0,12.08,21,84,31,6.09,3.28,100,100,11.7
10866,1.64,3864,0,0,12.01,21,84,31,6.38,3.32,100,100,11.7
10918,1.66,3939,0,0,11.96,20.5,84,30,6.53,3.32,100,100,11.5
10970,1.68,3970,0,0,11.95,20.5,84,30,6.82,3.36,100,100,11.5
11024,1.7,4015,0,0,11.89,20,84,30,7.11,3.38,100,100,11.5
11076,1.72,4028,0,0,11.8,20,84,30,7.11,3.38,100,100,11.5
11129,1.73,4092,0,0,11.75,20,84,29,7.4,3.42,100,100,11.5
11182,1.77,4107,0,0,11.68,19.5,84,28,7.69,3.44,100,100,11.5
11234,1.8,4180,0,0,11.59,19,84,28,7.98,3.48,100,100,11.1
11287,1.83,4228,0,0,11.48,18.5,84,28,8.27,3.5,100,100,11.1
11339,1.88,4266,0,0,11.32,18.5,84,28,8.27,3.5,100,100,11.1
11391,1.9,4266,0,0,11.3,18,84,27,8.56,3.54,100,100,10.8
11443,1.93,4332,0,0,11.24,18,84,26,8.85,3.56,100,100,10.8
11496,1.99,4394,0,0,10.98,18,84,26,9.29,3.62,100,100,10.8
11549,2.04,4424,0,0,10.97,17.5,84,25,9.58,3.64,100,100,10.4
11601,2.07,4467,0,0,11.04,17.5,84,25,9.58,3.64,100,100,10.4
11654,2.08,4467,0,0,11.11,17.5,84,24,10.01,3.68,100,100,10.4
11707,2.11,4545,0,0,11.04,17.5,82,24,10.3,3.72,100,100,10.2
11759,2.12,4581,0,0,11.12,17.5,82,23,10.74,3.74,100,100,10.2
11812,2.12,4646,0,0,11.13,17.5,82,23,10.88,3.74,100,100,10.2
11865,2.12,4664,0,0,11.09,17.5,82,23,10.88,3.74,100,100,10.3
11917,2.13,4728,0,0,11.09,17.5,82,23,11.32,3.78,100,100,10.3
11969,2.14,4762,0,0,11.14,17.5,82,23,11.61,3.82,100,100,10.3
12023,2.14,4873,0,0,11.15,18,82,23,11.75,3.86,100,100,10.7
12075,2.13,4879,0,0,11.15,18,82,23,11.9,3.86,100,100,10.7
12127,2.13,4879,0,0,11.25,18,82,22,11.9,3.86,100,100,10.7
12180,2.14,4957,0,0,11.16,18,82,21,11.9,3.88,100,100,10.7
12233,2.13,5054,0,0,11.25,18,82,20,12.04,3.88,100,100,10.7
12286,2.14,5116,0,0,11.17,18,82,20,11.9,3.88,100,100,10.7
12339,2.14,5116,0,0,11.17,18,82,19,11.9,3.9,100,100,10.8
12390,2.15,5165,0,0,11.17,18,82,18,11.75,3.92,100,100,10.8
12444,2.16,5222,0,0,11.17,18,82,17,11.75,3.94,100,100,10.8
12496,2.16,5222,0,0,11.22,18,82,17,11.75,3.94,100,100,10.9
12549,2.18,5293,0,0,11.18,18,82,15,11.75,3.96,100,100,10.9
12602,2.18,5392,0,0,11.18,17.5,82,14,11.75,3.98,100,100,10.9
12655,2.19,5392,0,0,11.12,17.5,82,14,11.75,3.98,100,100,10.8
12707,2.2,5430,0,0,11.18,17.5,82,13,11.75,3.98,100,100,10.8
12760,2.17,5543,0,0,11.18,18,82,13,11.75,4.02,100,100,10.8
12812,2.18,5543,0,0,11.19,18,82,13,11.75,4.02,100,100,10.7
12865,2.15,5588,0,0,12.11,18.5,82,11,11.75,4.04,100,69.02,10.7
12918,1.55,5588,0,0,1115.02,18.5,82,11,11.75,4.04,1.57,37.65,10.7
12971,0.83,5841,0,0,14.45,26.5,82,10,3.48,3.38,1.57,0,10.9
13024,0.75,5841,0,0,13.14,26.5,82,10,3.48,3.38,0,0,10.9
13076,0.59,5938,0,0,13.47,16,82,9,-7.4,2.54,0,0,10.9
13130,0.44,5921,0,0,16.73,16,82,9,-7.4,2.54,0,0,12.2
13182,0.53,5729,0,0,14.59,16,82,4,-8.42,2.56,0,0,12.2
13235,0.52,5572,0,0,12.09,16,82,4,-9,2.56,0,0,12.4
13288,0.46,5572,0,0,13.88,16,81,2,-9,2.74,0,2.75,12.4
13340,0.43,5502,0,0,16.48,29.5,81,1,-7.84,2.14,0,15.69,12.4
13394,0.96,5502,0,0,11.92,29.5,81,1,-7.84,2.14,0,37.65,18.5
13446,1.28,5289,0,0,11.97,30.5,81,1,2.61,3.44,30.59,60.78,18.5
13499,1.49,4792,0,0,11.55,30.5,81,1,4.21,3.44,40,70.98,18.5
13550,1.61,4792,0,0,11.52,26,81,4,4.21,3.5,44.31,72.94,18.5
13604,1.62,4244,0,0,11.92,22,81,6,5.22,3.38,44.31,84.71,17.7
13656,1.58,3868,0,0,12.12,21,81,7,5.8,3.26,98.04,95.29,17.7
13708,1.56,4150,0,0,12,2.5,81,11,5.95,3.32,100,100,17.7
13761,1.62,4155,0,0,11.78,2.5,81,11,6.53,3.32,100,100,11.3
13815,1.66,4155,0,0,11.74,21.5,81,14,6.53,3.4,100,100,11.3
13867,1.67,4071,0,0,11.84,21,82,16,6.96,3.4,100,100,11.2
13919,1.71,4162,0,0,11.61,20.5,82,19,7.11,3.44,100,100,11.2
13972,1.74,4194,0,0,11.61,19.5,82,22,7.69,3.46,100,100,11.2
14024,1.78,4171,0,0,11.49,19.5,82,22,7.98,3.46,100,100,11.4
14077,1.82,4171,0,0,11.46,19,82,24,7.98,3.46,100,100,11.4
14129,1.88,4199,0,0,11.18,18.5,82,25,8.42,3.5,100,100,11.4
14182,1.91,4247,0,0,11.18,18,82,26,8.71,3.54,100,100,10.9
14234,1.96,4237,0,0,11.06,17.5,82,26,9.14,3.58,100,100,10.9
14286,2,4286,0,0,11.04,17.5,82,26,9.43,3.58,100,100,10.9
14340,2.02,4286,0,0,11.01,17.5,82,26,9.43,3.6,100,100,10.4
14392,2.07,4302,0,0,11,17.5,82,25,9.72,3.62,100,100,10.4
14446,2.09,4318,0,0,11,17.5,82,25,10.16,3.64,100,100,10.4
14498,2.11,4383,0,0,11.08,17,81,25,10.45,3.64,100,100,10.2
14551,2.15,4396,0,0,11.02,17,81,25,10.74,3.64,100,100,10.2
14603,2.16,4398,0,0,11.08,17,81,25,10.74,3.7,100,100,10.2
14656,2.18,4398,0,0,11.03,17,81,24,11.03,3.7,100,100,10.4
14707,2.19,4440,0,0,11.04,17,81,24,11.32,3.72,100,100,10.4
14760,2.2,4456,0,0,11.1,17,81,24,11.61,3.76,100,100,10.4
14813,2.2,4494,0,0,11.11,17,81,24,11.9,3.76,100,100,10.5
14865,2.2,4494,0,0,11.12,17,81,24,11.9,3.76,100,100,10.5
14918,2.2,4512,0,0,11.18,17,81,24,12.04,3.78,100,100,10.5
14970,2.2,4556,0,0,11.13,17,81,24,12.19,3.78,100,100,10.7
15023,2.19,4601,0,0,11.21,17,81,24,12.19,3.78,100,100,10.7
15075,2.19,4596,0,0,11.15,17,81,24,12.19,3.78,100,100,10.7
15128,2.17,4596,0,0,11.22,17.5,81,24,12.19,3.82,100,100,10.7
15180,2.17,4627,0,0,11.16,17.5,81,23,12.04,3.8,100,100,10.7
15233,2.16,4658,0,0,11.21,17.5,81,22,12.04,3.8,100,100,10.7
15285,2.15,4696,0,0,11.27,17.5,81,22,12.04,3.76,100,100,10.8
15338,2.15,4726,0,0,11.18,17.5,81,22,12.04,3.76,100,100,10.8
15390,2.15,4726,0,0,11.18,17.5,81,23,12.04,3.82,100,100,10.8
15444,2.14,4746,0,0,11.18,17.5,81,23,12.04,3.84,100,100,10.9
15495,2.14,4810,0,0,11.18,18,81,23,12.04,3.84,100,100,10.9
15548,2.14,4789,0,0,11.18,18,81,23,12.04,3.84,100,100,10.9
15601,2.13,4781,0,0,11.19,18,81,23,12.04,3.84,100,100,10.9
15653,2.14,4845,0,0,11.12,18,81,22,11.9,3.82,100,100,10.9
15706,2.15,4854,0,0,11.27,17.5,81,22,11.9,3.88,100,100,10.9
15758,2.16,4924,0,0,11.19,17.5,81,21,11.9,3.86,100,100,10.9
15811,2.15,4880,0,0,11.14,17.5,81,21,11.9,3.86,100,100,10.9
15864,2.15,4944,0,0,11.19,17.5,81,21,11.9,3.88,100,100,10.9
15916,2.16,4947,0,0,11.11,17.5,81,21,11.9,3.88,100,100,10.9
15968,2.15,5006,0,0,11.19,17.5,81,19,11.9,3.9,100,100,10.9
16022,2.18,5023,0,0,11.09,17.5,81,19,11.9,3.9,100,100,10.9
16074,2.18,5023,0,0,11.12,17.5,81,17,11.9,3.92,100,100,10.8
16127,2.19,5088,0,0,11.14,17.5,81,18,11.9,3.92,100,100,10.8
16180,2.17,5092,0,0,11.19,17.5,81,17,12.04,3.94,100,99.22,10.8
16234,1.99,5092,0,0,12.67,17.5,81,17,12.04,3.94,4.71,52.55,10.8
16285,1.31,5123,0,0,15.66,19,79,17,9,3.76,4.71,0.39,10.8
16338,1.01,5252,0,0,12.63,28,79,17,-4.79,3.12,0,0,10.8
16391,0.66,5254,0,0,16.67,28,79,17,-4.79,3.12,0,0,10.4
16443,0.67,5190,0,0,14.23,16,79,12,-6.96,2.76,0,0,10.4
16496,0.64,5116,0,0,12.41,16,79,7,-8.13,2.8,0,0,10.4
16549,0.53,5030,0,0,13.52,16,79,7,-8.71,2.8,0,0,13
16603,0.45,5030,0,0,16.07,16,79,4,-8.71,2.7,0,0,13
16654,0.47,4914,0,0,14.79,16,79,2,-8.85,2.82,0,0,13
16708,0.49,4768,0,0,13.59,28,79,2,-8.85,2.74,0,0,12.2
16760,0.49,4766,0,0,11.9,28,79,2,-8.85,2.74,0,5.49,12.2
16812,0.56,4702,0,0,12.82,29.5,79,2,-8.42,2.72,4.31,14.9,18.5
16865,0.92,4684,0,0,11.67,24.5,79,2,-3.05,2.96,4.31,30.2,18.5
